"day","dmin","dmed","dmax"
1,20.1,77,555.899999999998
2,21.65,79,354.95
3,19.55,82.5,499.749999999999
4,18.2,81.5,704.199999999998
5,17.75,82,604.2
6,21.75,79,404.4
7,23.55,80,464.749999999999
8,22,73,778.649999999999
9,22.1,73.5,770.5
10,22.65,81,609
11,21.1,88,1310.5
12,20.1,84,711.399999999998
13,20,76.5,521.549999999999
14,20.1,81.5,986.399999999999
15,20.2,91,603.15
16,19.65,85.5,476.75
17,18.55,79.5,477.95
18,19.1,84.5,610.25
19,26.55,89,955.349999999999
20,25.3,101,718.349999999999
21,25.95,110.5,672.95
22,27.75,108,542.25
23,27.55,114,501.45
24,27.65,113.5,772.249999999999
25,25.1,116,1131.5
26,25.75,101.5,742.35
27,28.5,88.5,710.75
28,30.05,95.5,496.999999999999
29,32.55,90,532.1
30,30.3,90,269.1
31,28.4,90,338.999999999999
32,32.75,87.5,342.25
33,31.3,93.5,1004.1
34,33,92.5,727.45
35,30,111,755.249999999999
36,30,107.5,955.499999999997
37,31,102.5,757.85
38,30,116,655.25
39,32.75,122,641.3
40,32.2,99.5,453.6
41,31,93,370.1
42,32.65,118,392.15
43,32.65,130,419.1
44,35.65,120,597.45
45,34.3,116.5,821.149999999999
46,37.65,117.5,618.349999999999
47,37.65,118.5,895.8
48,36.55,133,1433.5
49,36.2,118.5,743.899999999999
50,34.75,120,593
51,34.2,121,340.8
52,33.1,113.5,351.4
53,33.75,103,508.349999999999
54,34.4,98.5,1102.5
55,37.25,99.5,852.85
56,35.15,118,479.6
57,34.6,115.5,484.449999999999
58,38.1,123.5,618.8
59,37.1,120.5,1547.5
60,36.55,117,882
61,39.2,119.5,1218
62,43.15,122.5,867.649999999999
63,37.65,148,919.799999999999
64,51,153.5,897.9
65,52.4,129.5,764.599999999999
66,52.3,147,1711
67,50.95,136.5,816.099999999999
68,47.85,119,804
69,44.1,119.5,448.6
70,44.1,118,339.5
71,44.65,121.5,378.399999999999
72,43.75,115.5,956.899999999996
73,43.4,120.5,1187
74,40.3,112.5,680.049999999999
75,38.2,122.5,586.75
76,42.35,120,762.75
77,40.15,120.5,1784.5
78,47.5,131.5,1155.05
79,43.65,128.5,832.899999999999
80,48.35,163,1798.5
81,60.05,143.5,828.649999999999
82,57.65,136,528.65
83,55.2,135.5,409.049999999999
84,53.75,135.5,613.149999999999
85,52.75,120,541.399999999999
86,54.75,114.5,478.7
87,53.2,107,787.999999999998
88,51.75,129.5,881.1
89,49.2,135,1381
90,47.1,126,680.9
91,49.85,124.5,649.099999999999
92,47.3,128,716.55
93,44.1,128,614.45
94,41,113.5,421.2
95,40.55,112,460.5
96,38.55,112.5,676.7
97,37.65,116.5,737.099999999999
98,36.65,111,1150.5
99,37,101,629.35
100,38.65,97,818.399999999998
101,34.75,92,404.25
102,37.55,91.5,333.199999999999
103,37.1,89,292.7
104,36,99.5,244.1
105,35.55,104,701.35
106,34.2,106.5,1044.45
107,32.1,99,702.4
108,30.3,95,364.5
109,30.2,83,378.4
110,33.3,83.5,420.449999999999
111,30.3,82,273.55
112,34.85,86.5,228.3
113,36.65,87.5,489.649999999998
114,35.75,80.5,507.55
115,34.75,74,323.599999999999
116,32.85,80.5,305.85
117,31.2,78.5,290.75
118,30.55,75,718.599999999999
119,29.65,83.5,449.4
120,27.1,79.5,876.2
121,25.2,78.5,421.65
122,25,70.5,717.999999999998
123,23.55,73.5,470.849999999999
124,23,74.5,540.099999999999
125,22.55,69,579.75
126,24.2,66,516.049999999999
127,21,67,486.95
128,21.2,69.5,330.4
129,21.3,60.5,301.2
130,19.1,54.5,475.099999999999
131,20.1,51.5,249.8
132,21.2,50.5,225.6
133,22.55,48.5,299.9
134,21.55,56,283.7
135,21,54,403.049999999999
136,19.55,56.5,533.149999999998
137,17,52,522.3
138,15.1,51.5,360.149999999999
139,17,57.5,386.7
140,19.65,67,271.95
141,18.55,62,300.249999999999
142,15.55,59.5,477.8
143,14.1,55,448.549999999999
144,13.55,53,256.35
145,12.2,58.5,224.3
146,12.39,55.5,192.6
147,14.1,54,299.149999999999
148,13.55,55,455.65
149,14.2,47.5,736.549999999999
150,12.65,40,314.399999999999
151,12.39,37,205.85
152,10.515,42.5,166.5
153,9.83,40.5,218.999999999999
154,12.55,50,181.35
155,11,50,222.649999999999
156,11.1,42.5,504.45
157,9.62,41.5,314.349999999999
158,8.365,42,247.85
159,8.17,35.5,163.5
160,7.775,35,131.85
161,7.43,38,353.8
162,7.29,39,282.9
163,6.78,36,359.349999999999
164,5.96,36,230.25
165,5.285,39.5,148.5
166,5.39,37.5,299.949999999999
167,5.945,31,223.25
168,6.46,34,257.099999999999
169,6.765,34,276.55
170,5.41,40,204.35
171,5.295,30,153.85
172,5.59,28.5,142.15
173,4.975,30.5,153.4
174,5.435,29,271.599999999999
175,5.17,29.5,325.25
176,4.655,27,231.75
177,4.955,28.5,170.25
178,4.21,28.5,186.35
179,3.655,28,195.5
180,4.37,24,229.249999999999
181,4.53,22.5,414.149999999999
182,4.555,24,271.45
183,5.95,22.5,333.25
184,4.85,21.5,176.4
185,4.84,22,262.75
186,3.955,22,265.85
187,4.165,23,136.8
188,4.355,24.5,126.8
189,4.02,21,166.75
190,3.99,20.5,116.15
191,3.655,21,95.1499999999999
192,3.485,17,685.499999999998
193,2.805,18.5,313.85
194,3.55,22.5,282.15
195,2.755,25,298.65
196,3.81,27.5,217.35
197,3.6,23.5,319.749999999999
198,3.74,20.5,391.049999999999
199,3.255,17,185.15
200,4.21,16,178.95
201,4.3,16.5,119.05
202,3.055,16.5,109.8
203,2.875,15.5,86.9
204,3.365,17.5,120.7
205,3.24,20,164.85
206,3.665,19.5,295.8
207,3.71,21.5,169.25
208,4.13,19.5,141.15
209,4.175,19,156.2
210,4.115,21,289.149999999999
211,4.01,19,163.7
212,3.32,21,144.5
213,2.875,18.5,230.3
214,3.15,16,191.9
215,3.4,14,173.7
216,3.23,13.5,197.25
217,2.965,13,165.8
218,2.775,15.5,260.299999999999
219,2.1,19.5,147
220,2.525,16,156.4
221,2.105,17,120.95
222,2.085,12.5,117.95
223,2.155,16.5,333.149999999999
224,1.985,15,308.5
225,1.85,19,272.6
226,1.965,19,134.5
227,1.81,18.5,106.45
228,2.02,20,117.25
229,2.31,16.5,112.5
230,2.985,19.5,111.2
231,2.72,17,392.749999999999
232,2.52,19.5,263.699999999999
233,2.955,17,121
234,2.53,17,136.65
235,2.555,17.5,73.6
236,2.2,13.5,69.7499999999999
237,2.02,12.5,87.9999999999998
238,2.13,15,122.95
239,2.2,15.5,125.65
240,2.155,13.5,291.65
241,1.755,11,120.2
242,1.555,17.5,94.0999999999998
243,1.455,19.5,242.7
244,1.265,19,341.2
245,1.275,15.5,208.65
246,1.2075,14.5,90.1999999999999
247,1.1255,18,128.6
248,0.6815,17,385.599999999999
249,0.622,18,405.699999999999
250,0.6765,21,2909.99999999999
251,1.286,20,688.7
252,1.21,15.5,357.3
253,1.257,16.5,165.3
254,1.1525,15.5,153.45
255,1.1515,14.5,140.5
256,1.002,13,83.8
257,1.51,12.5,77.05
258,1.465,13,86.5999999999998
259,1.795,12,67.6499999999999
260,1.83,10,64.45
261,1.81,9.05,104.35
262,2.21,10.5,316.8
263,2.155,10.4,191.85
264,2.01,14.5,174.2
265,1.865,16,89.8999999999999
266,1.485,14.5,147.649999999999
267,1.355,14.5,79.8499999999998
268,1.475,15.5,118.15
269,1.555,16.5,191.35
270,1.865,16.5,361.5
271,2.2,18,162.999999999999
272,2,15,145.3
273,1.9,17,160.85
274,1.855,13.5,259.85
275,1.955,17,248.05
276,2.33,13.5,183.75
277,2.01,18,112.4
278,2.16,18,215.3
279,2.03,17,454.699999999999
280,1.775,16.5,170.149999999999
281,1.755,17,116.6
282,1.875,16,119.65
283,2.73,16,87.3999999999999
284,3.12,15,132.75
285,2.775,13,114.55
286,2.72,12.5,93.9499999999999
287,2.61,14.5,108.8
288,2.5,16.5,108.55
289,2.61,15,75.95
290,2.385,14.5,76.8
291,2.455,13,98.0499999999998
292,2.04,14,101.25
293,2.82,15,145.5
294,2.855,14,113.55
295,2.93,13.5,127.65
296,2.455,12,184.649999999999
297,3.075,12,141.25
298,3.41,12.5,148.849999999999
299,3.51,13,331.3
300,3.7,14.5,230.6
301,3.195,19.5,199.75
302,3.975,18.5,181.75
303,3.93,16,131.15
304,3.81,15.5,83.25
305,3.365,21.5,78.5
306,3.54,22,111.65
307,3.14,21,237.949999999999
308,3.53,21.5,226.45
309,2.5,22.5,127.95
310,2.81,21,172.5
311,3.78,24.5,150.65
312,4.165,21.5,106.45
313,3.56,20,209.899999999999
314,3.63,18.5,237.25
315,4.16,31,377.7
316,4.91,27.5,728.249999999997
317,5.74,31.5,500.599999999999
318,5.835,30.5,391.899999999999
319,5.97,27.5,177.45
320,5.73,30,133.9
321,5.725,31.5,110.55
322,5.66,33,126.2
323,4.92,32,190.149999999999
324,5.765,29,164.15
325,6.32,30.5,178.4
326,5.575,31.5,553.85
327,5.355,29.5,537.549999999998
328,5.74,30.5,462.65
329,6.07,31,288.4
330,6.315,31,306.25
331,7.9,36.5,363.849999999999
332,8.175,35,389.3
333,7.695,44.5,276.15
334,8.36,52,259.9
335,8.515,52.5,238.5
336,8.28,41.5,404.7
337,7.995,37.5,240.15
338,7.585,48,272.5
339,7.5,51.5,392.249999999999
340,7.325,46,448.199999999999
341,7.71,44.5,509.7
342,7.265,46.5,312.6
343,8.965,52.5,403.7
344,9.65,53,240.9
345,16.75,56,403.75
346,15.55,60.5,791.2
347,17.65,50.5,788.299999999999
348,17.65,53.5,504.449999999999
349,13.55,62,367.75
350,15.1,79,697.999999999997
351,14.55,77,320.85
352,16.55,58,353.549999999999
353,14.65,59,203.9
354,14.55,54.5,199.15
355,12.65,55,275.05
356,12.1,65.5,361.25
357,12.1,78,476.649999999999
358,14.55,78.5,906.349999999998
359,16.75,82,832.45
360,19.75,78.5,582.599999999999
361,19.4,72,333.45
362,16.2,69,369
363,16.95,75,392.8
364,19.55,71,263.8
365,18.55,76,266
366,25.6,57,164.4
